human,RT,error,kaku,,,,
1,1600.4,1,270,f,f,re_right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair270.png
1,1050.9,1,180,f,f,re_right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair180.png
1,1873.7,1,90,f,f,re_left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair90.png
1,1069.8,1,135,j,j,left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair135.png
1,952.3,1,270,j,j,left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair270.png
1,662.9,1,90,j,j,right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair90.png
1,659.5,1,90,j,j,left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair90.png
1,1092.5,1,315,f,f,re_right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair315.png
1,1150.6,1,225,j,j,right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair225.png
1,943.2,1,225,f,f,re_right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair225.png
1,866.6,1,135,j,j,right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair135.png
1,778.1,1,45,f,f,re_left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair45.png
1,607.9,1,0,j,j,left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair0.png
1,831.6,1,225,j,j,left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair225.png
1,675.9,1,315,f,f,re_left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair315.png
1,800.7,1,0,f,f,re_right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair0.png
1,1068.4,1,180,j,j,left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair180.png
1,1357.3,1,270,f,f,re_left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair270.png
1,1840.8,1,225,f,f,re_left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair225.png
1,1391.2,1,180,f,f,re_left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair180.png
1,1598.1,1,180,j,j,right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair180.png
1,1325.1,1,90,f,f,re_right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair90.png
1,722.8,1,315,j,j,right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair315.png
1,670.8,1,45,j,j,left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair45.png
1,580.2,1,315,j,j,left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair315.png
1,694.8,1,45,f,f,re_right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair45.png
1,783.3,1,0,f,f,re_left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair0.png
1,1094.1,1,135,f,f,re_right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair135.png
1,1116.4,1,135,f,f,re_left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair135.png
1,590.9,1,0,j,j,right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair0.png
1,660.5,1,45,j,j,right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair45.png
1,1962.2,1,270,j,j,right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair270.png
1,718,1,45,j,j,left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair45.png
1,720.1,1,0,j,j,left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair0.png
1,638.6,1,45,f,f,re_right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair45.png
1,904.6,1,180,j,j,right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair180.png
1,796.2,1,315,j,j,right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair315.png
1,584.3,1,0,j,j,right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair0.png
1,657.3,1,270,j,j,left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair270.png
1,1429.5,1,135,j,j,left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair135.png
1,1956.3,1,180,f,f,re_right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair180.png
1,725.7,1,0,f,f,re_left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair0.png
1,737.9,1,315,j,j,left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair315.png
1,1523.7,1,225,f,f,re_left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair225.png
1,849.3,1,225,j,j,left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair225.png
1,1033.7,1,45,f,f,re_left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair45.png
1,715.9,1,135,j,j,right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair135.png
1,621.8,1,270,j,j,right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair270.png
1,687.6,1,0,f,f,re_right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair0.png
1,782.3,1,270,f,f,re_right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair270.png
1,781.4,1,315,f,f,re_right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair315.png
1,591.1,1,90,j,j,left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair90.png
1,949.6,1,135,f,f,re_left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair135.png
1,1266.4,1,270,f,f,re_left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair270.png
1,798.3,1,315,f,f,re_left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair315.png
1,1225.9,1,180,j,j,left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair180.png
1,864.8,1,90,f,f,re_right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair90.png
1,1199.7,1,225,f,f,re_right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair225.png
1,831.3,1,225,j,j,right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair225.png
1,599.4,1,90,j,j,right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair90.png
1,1053.1,1,135,f,f,re_right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair135.png
1,636.7,1,90,f,f,re_left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair90.png
1,923.3,1,180,f,f,re_left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair180.png
1,839.9,1,45,j,j,right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair45.png
,,,,,,,
2,720.6,1,135,j,j,right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair135.png
2,2677.9,0,225,f,j,right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair225.png
2,816.1,1,90,j,j,right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair90.png
2,1001.6,1,315,f,f,re_right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair315.png
2,749.9,1,225,j,j,left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair225.png
2,942,1,0,f,f,re_left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair0.png
2,1840.6,1,315,j,j,right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair315.png
2,1556.4,0,180,j,f,re_right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair180.png
2,916,1,45,j,j,right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair45.png
2,986.9,0,225,j,f,re_right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair225.png
2,1668.8,1,45,f,f,re_right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair45.png
2,1039.3,1,270,j,j,left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair270.png
2,1224.6,1,90,f,f,re_left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair90.png
2,1371.9,1,90,f,f,re_right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair90.png
2,1515.2,0,180,j,f,re_left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair180.png
2,1540.3,0,270,f,j,right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair270.png
2,1370.8,1,45,f,f,re_left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair45.png
2,1501.4,0,0,f,j,left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair0.png
2,1000.4,0,225,j,f,re_left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair225.png
2,1051.7,1,270,f,f,re_left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair270.png
2,934.5,1,180,j,j,right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair180.png
2,645.8,1,180,j,j,left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair180.png
2,1166.2,1,0,f,f,re_right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair0.png
2,1333.1,1,315,j,j,left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair315.png
2,2005.4,0,90,f,j,left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair90.png
2,1013.3,1,315,f,f,re_left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair315.png
2,1724.4,1,135,j,j,left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair135.png
2,1929,1,0,j,j,right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair0.png
2,2434.9,0,135,j,f,re_left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair135.png
2,736.7,0,135,j,f,re_right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair135.png
